Date,Open,High,Low,Close,Adj Close,Volume
05-01-2018,9.41,9.45,9.37,9.43,7.890946,40300
08-01-2018,9.41,9.47,9.41,9.41,7.874212,20100
09-01-2018,9.41,9.43,9.39,9.4,7.865842,45500
10-01-2018,9.4,9.4,9.35,9.37,7.840739,26000
11-01-2018,9.35,9.38,9.35,9.36,7.832373,23500
12-01-2018,9.35,9.38,9.33,9.33,7.807266,23300
16-01-2018,9.35,9.35,9.34,9.35,7.824004,25700
17-01-2018,9.34,9.35,9.3,9.33,7.807266,29100
18-01-2018,9.3,9.31,9.25,9.26,7.777034,33900
19-01-2018,9.29,9.29,9.27,9.28,7.79383,19600
22-01-2018,9.31,9.31,9.25,9.26,7.777034,21300
23-01-2018,9.25,9.32,9.25,9.29,7.802228,33700
24-01-2018,9.32,9.32,9.29,9.31,7.819026,9700
25-01-2018,9.28,9.29,9.25,9.25,7.768634,16500
26-01-2018,9.25,9.26,9.21,9.22,7.743435,38300
29-01-2018,9.21,9.21,9.07,9.08,7.625861,59400
30-01-2018,9.08,9.08,8.9,9.06,7.609064,52500
31-01-2018,9.08,9.12,9.07,9.11,7.651056,33000
01-02-2018,9.1,9.11,9.06,9.1,7.642658,58900
02-02-2018,9.03,9.03,8.93,8.95,7.516677,61900
05-02-2018,8.93,8.95,8.91,8.92,7.491483,21600
06-02-2018,8.91,9,8.91,8.96,7.525079,43600
07-02-2018,8.95,9.06,8.95,9.03,7.583866,14600
08-02-2018,8.99,9.1,8.94,9.1,7.642658,49500
09-02-2018,9.09,9.09,9,9.09,7.634258,52300
12-02-2018,9.08,9.09,9.01,9.05,7.600663,47200
13-02-2018,9.03,9.1,9.03,9.04,7.592267,51400
14-02-2018,9.04,9.16,9.04,9.1,7.642658,43300
15-02-2018,9.06,9.06,8.98,9,7.587017,32400
16-02-2018,8.99,9.02,8.99,9.01,7.595449,26000
20-02-2018,9.04,9.05,9,9.01,7.595449,13100
21-02-2018,8.99,9.01,8.97,9,7.587017,22600
22-02-2018,9,9.03,8.96,8.98,7.570158,12300
23-02-2018,8.98,9,8.93,8.95,7.544867,26700
26-02-2018,8.98,9,8.95,8.97,7.561728,13600
27-02-2018,8.96,8.97,8.93,8.97,7.561728,27000
28-02-2018,8.96,8.98,8.96,8.98,7.570158,9900
01-03-2018,8.98,8.99,8.95,8.99,7.578589,16400
